                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.81936,                 1.1002,                 1.0241,                0.38626,                0.25386,                0.25924,                0.16294,                 1.3369,                   2.36,                 1.6624,             0.00013628,             0.00013628,             0.00013628
                     36,                0.80248,                  1.078,                 1.0163,                 0.3295,                0.15979,                0.25925,                0.18796,                 1.3128,                 2.4114,                 1.6043,             0.00012802,             0.00012802,             0.00012802
                     37,                0.82785,                 1.0587,                 1.0254,                0.31503,                0.26201,                0.25539,                0.18682,                 1.2769,                 2.4073,                 1.5668,             0.00011976,             0.00011976,             0.00011976
                     38,                 0.7913,                 1.0298,                  1.014,                0.27027,                0.24379,                0.25352,                0.20344,                 1.2134,                 2.3628,                 1.4997,             0.00011151,             0.00011151,             0.00011151
                     39,                0.79938,                 1.0195,                 1.0109,                0.25792,                0.24501,                0.25885,                0.20742,                 1.1916,                 2.2761,                 1.5203,             0.00010325,             0.00010325,             0.00010325
                     40,                0.77846,                  1.005,                0.99936,                0.39155,                0.25576,                0.25712,                0.19591,                 1.2206,                 2.2405,                 1.5577,             9.4993e-05,             9.4993e-05,             9.4993e-05
                     41,                0.75482,                 1.1099,                0.98429,                0.27026,                0.26702,                0.25984,                0.19519,                 1.3176,                 2.2835,                  1.584,             8.6736e-05,             8.6736e-05,             8.6736e-05
                     42,                0.75091,                 1.1246,                0.98612,                0.29169,                 0.2553,                0.20278,                0.14023,                 1.3555,                  2.369,                 1.6493,             7.8479e-05,             7.8479e-05,             7.8479e-05
                     43,                0.73338,                  1.077,                0.96957,                0.41243,                0.26425,                0.20553,                  0.139,                 1.3085,                 2.3537,                 1.6123,             7.0223e-05,             7.0223e-05,             7.0223e-05
                     44,                0.73141,                 1.0918,                 0.9666,                0.39291,                0.25576,                0.25526,                0.19635,                 1.2619,                 2.2741,                 1.5821,             6.1966e-05,             6.1966e-05,             6.1966e-05
                     45,                0.73692,                 1.0861,                0.97771,                0.31016,                0.26201,                0.26039,                0.19828,                 1.2745,                 2.2464,                 1.5907,              5.371e-05,              5.371e-05,              5.371e-05
                     46,                0.69214,                 1.0332,                0.96018,                0.31694,                0.26201,                0.26314,                0.19931,                  1.262,                 2.2071,                 1.5767,             4.5453e-05,             4.5453e-05,             4.5453e-05
                     47,                0.70437,                 1.0418,                0.95986,                0.31165,                0.25576,                0.26175,                0.20162,                  1.207,                 2.1858,                 1.5273,             3.7196e-05,             3.7196e-05,             3.7196e-05
                     48,                0.69901,                 1.0113,                0.94921,                0.33385,                0.27936,                0.26645,                0.20412,                 1.1869,                 2.1875,                 1.5065,              2.894e-05,              2.894e-05,              2.894e-05
                     49,                0.70725,                 1.0178,                0.95926,                0.31885,                0.27788,                 0.2719,                0.20865,                 1.1778,                 2.1662,                 1.5028,             2.0683e-05,             2.0683e-05,             2.0683e-05
                     50,                0.69686,                 1.0075,                0.94591,                0.32709,                 0.2858,                0.27323,                0.20793,                 1.1818,                 2.1662,                 1.4984,             1.2427e-05,             1.2427e-05,             1.2427e-05
